name,initial_fixing_1,initial_fixing_2,initial_fixing_3,down_in,autocall_barrier,maturity_months,is_euro_barrier,dist_to_barrier,dist_to_autoc
Autocall_78,1.924,0.799,0.531,0.461,0.925244,2,True,0.11303600000000003,0.7801694559999999
Autocall_79,1.198,0.884,1.053,0.683,1.092747,14,True,0.18176599999999998,0.3091109059999999
Autocall_80,1.947,0.662,0.539,0.47,1.035469,11,False,0.08491000000000004,1.016058143
Autocall_81,1.912,0.797,1.388,0.511,0.94857,26,False,0.02296799999999999,0.8136658399999999
Autocall_82,1.694,1.349,0.562,0.525,1.032304,8,True,0.11065000000000003,0.748722976
Autocall_83,1.471,0.519,1.13,0.563,0.986705,33,False,0.17182700000000006,0.45144305500000015
Autocall_84,1.561,1.153,1.601,0.619,0.954016,30,False,0.008981000000000017,0.5273796159999999
Autocall_85,1.153,1.597,0.903,0.6,1.066146,30,True,0.04180000000000006,0.702635162
Autocall_86,1.822,0.866,1.197,0.51,0.975798,18,True,0.07077999999999995,0.7779039560000001
Autocall_87,1.776,0.773,0.818,0.54,0.968068,32,False,0.040959999999999885,0.7192887680000002
Autocall_88,0.515,1.922,0.628,0.501,0.997716,36,True,0.037078000000000055,0.917610152
Autocall_89,1.469,1.236,1.689,0.463,0.944319,31,True,0.21799299999999988,0.5949547910000001
Autocall_90,1.496,1.054,1.33,0.525,1.099326,20,False,0.2146,0.644591696
Autocall_91,1.554,0.906,0.877,0.473,0.938517,23,True,0.264958,0.4584554180000002
Autocall_92,1.926,1.535,0.787,0.501,0.9553,35,False,0.03507400000000005,0.8399078
Autocall_93,1.749,0.944,1.041,0.487,1.041604,7,True,0.14823699999999995,0.821765396
Autocall_94,0.568,0.582,0.938,0.875,1.027574,18,False,0.17925000000000002,-0.03613558800000005
Autocall_95,1.809,1.361,1.204,0.495,0.936873,7,True,0.104545,0.6948032569999998
Autocall_96,1.912,1.217,1.733,0.479,0.914816,17,True,0.08415200000000012,0.7491281919999999
Autocall_97,0.724,1.344,0.956,0.742,0.92369,10,False,0.0027519999999999767,0.24143936
Autocall_98,1.664,1.071,1.863,0.476,1.017705,15,False,0.11321200000000009,0.895984415
Autocall_99,1.353,0.59,1.94,0.456,1.052547,20,True,0.11536000000000002,1.0419411799999998
Autocall_100,1.491,0.736,0.761,0.467,0.900535,17,False,0.30370299999999995,0.3426976850000001
Autocall_101,0.937,0.847,1.56,0.584,0.990806,31,True,0.08896000000000004,0.5456573600000001
Autocall_102,1.682,1.438,1.492,0.585,0.985028,17,True,0.0160300000000001,0.6568170959999999
Autocall_103,1.863,1.74,0.607,0.464,0.961522,10,False,0.1355679999999999,0.791315486
Autocall_104,0.687,1.533,1.55,0.634,1.000094,29,False,0.017299999999999982,0.5501457000000001
Autocall_105,0.621,0.56,1.148,0.586,0.950074,29,True,0.3272720000000001,0.09068495199999993
Autocall_106,1.943,1.754,1.363,0.511,1.099914,15,False,0.0071269999999999945,1.1371329020000003
Autocall_107,1.645,0.763,1.278,0.52,0.955631,3,False,0.14459999999999995,0.5720129950000001
Autocall_108,1.954,1.205,1.113,0.47,0.92092,32,True,0.08162000000000003,0.7994776799999999
Autocall_109,1.117,1.243,1.494,0.538,1.0521,22,True,0.19622799999999996,0.5718373999999999
Autocall_110,0.632,0.879,0.674,0.798,1.072982,30,True,0.298558,-0.056848821999999855
Autocall_111,1.193,0.581,1.278,0.657,0.999699,35,False,0.160354,0.27761532199999994
Autocall_112,0.805,1.324,1.892,0.484,1.03965,4,True,0.08427200000000012,0.9670177999999998
Autocall_113,1.96,1.413,0.859,0.46,1.010168,2,False,0.09839999999999993,0.9799292799999999
Autocall_114,0.837,1.762,0.67,0.561,1.029542,6,True,0.011517999999999917,0.814053004
Autocall_115,1.899,0.938,1.558,0.482,0.9965,32,False,0.08468200000000004,0.8923535
Autocall_116,1.185,0.717,0.786,0.686,1.049259,16,True,0.18708999999999987,0.243371915
Autocall_117,0.914,1.685,1.122,0.584,1.001548,5,True,0.015960000000000085,0.6876083800000001
Autocall_118,1.589,1.756,1.37,0.529,1.073052,19,False,0.07107599999999992,0.8842793119999999
Autocall_119,1.227,0.999,1.644,0.51,1.08657,35,True,0.16156000000000004,0.78632108
Autocall_120,1.358,0.85,1.663,0.457,1.048941,16,False,0.24000899999999992,0.7443888829999998
Autocall_121,1.983,1.689,1.478,0.458,1.092965,25,True,0.09178599999999992,1.1673495950000001
Autocall_122,1.948,0.998,0.651,0.504,0.919942,33,False,0.018208000000000002,0.7920470159999999
Autocall_123,1.584,1.115,1.482,0.478,0.993898,1,False,0.24284799999999995,0.5743344319999999
Autocall_124,1.435,1.096,0.62,0.531,1.034871,22,False,0.23801499999999998,0.48503988500000017
Autocall_125,1.44,1.831,1.232,0.502,1.023492,21,True,0.08083799999999997,0.874013852
Autocall_126,1.996,1.62,1.151,0.455,1.02675,19,True,0.09182000000000001,1.0493930000000002
Autocall_127,0.75,0.949,0.543,0.596,0.911224,29,False,0.434396,-0.13524842400000003
Autocall_128,1.146,0.866,1.118,0.738,0.936011,24,True,0.15425200000000006,0.07266860599999991
Autocall_129,1.414,1.074,1.525,0.552,1.016631,6,True,0.1582,0.5503622749999999
Autocall_130,1.457,1.189,1.5,0.645,0.993051,30,False,0.03249999999999997,0.4895765000000001
Autocall_131,0.737,1.163,1.018,0.691,1.027788,35,False,0.19636700000000007,0.19531744399999984
Autocall_132,1.185,0.953,1.999,0.493,0.921331,17,False,0.014492999999999978,0.8417406690000002
Autocall_133,1.362,1.989,0.943,0.502,1.031646,23,False,0.0015219999999999123,1.0519438940000003
Autocall_134,1.349,1.529,1.617,0.458,1.021281,1,False,0.2594139999999999,0.6514113770000001
Autocall_135,1.664,0.845,1.703,0.48,0.938026,19,False,0.18255999999999994,0.5974582780000002
Autocall_136,1.442,1.855,1.47,0.478,0.988165,9,False,0.11331000000000002,0.8330460749999999
Autocall_137,0.635,0.943,1.621,0.479,0.926432,9,False,0.223541,0.5017462720000001
Autocall_138,1.253,0.909,0.747,0.768,1.088838,34,False,0.03769600000000006,0.36431401399999985
Autocall_139,1.706,1.202,0.613,0.553,0.945123,22,False,0.05658199999999991,0.6123798380000001
Autocall_140,1.049,1.686,0.521,0.527,0.990957,36,False,0.11147799999999997,0.670753502
Autocall_141,1.734,1.91,0.663,0.467,0.905005,25,False,0.10802999999999996,0.7285595499999997
Autocall_142,1.471,1.453,1.196,0.611,1.029848,15,True,0.10121899999999995,0.5149064080000003
Autocall_143,0.568,0.556,1.994,0.456,0.94696,9,True,0.09073599999999993,0.88823824
Autocall_144,1.18,1.506,1.615,0.61,0.983825,25,True,0.01485000000000003,0.5888773749999998
Autocall_145,1.482,1.751,1.423,0.564,0.955948,27,False,0.012436000000000114,0.6738649479999999
Autocall_146,1.165,1.926,1.783,0.457,1.037136,14,False,0.11981799999999998,0.9975239360000001
Autocall_147,1.097,0.785,0.683,0.832,0.990943,4,True,0.08729600000000004,0.08706447099999992
Autocall_148,0.576,1.0,1.983,0.493,0.941041,2,True,0.022380999999999984,0.866084303
Autocall_149,1.72,0.849,1.662,0.554,1.019196,14,False,0.04711999999999994,0.75301712
Autocall_150,1.981,1.31,1.698,0.456,1.07329,10,True,0.09666399999999997,1.1261874900000004
Autocall_151,1.037,1.683,1.383,0.452,0.953074,1,True,0.23928399999999994,0.604023542
Autocall_152,1.289,1.618,1.214,0.581,1.002648,27,True,0.05994200000000005,0.622284464
Autocall_153,1.256,1.918,0.565,0.506,1.073396,29,False,0.029492000000000074,1.0587735280000001
Autocall_154,1.465,0.547,1.998,0.493,0.985255,30,True,0.014986000000000055,0.96853949
Autocall_155,1.569,1.165,1.849,0.479,0.929667,32,True,0.11432900000000001,0.718954283
Autocall_156,1.436,1.378,1.568,0.522,1.019478,18,False,0.1815039999999999,0.5985415040000002
Autocall_157,1.258,1.145,1.69,0.466,1.030943,30,True,0.21245999999999998,0.7422936699999998
Autocall_158,1.177,0.843,1.008,0.631,0.983198,28,True,0.257313,0.15722404600000006
Autocall_159,1.14,1.498,1.061,0.483,1.084597,21,True,0.276466,0.6247263060000001
Autocall_160,1.748,0.64,0.645,0.54,1.062354,6,True,0.05607999999999991,0.8569947920000001
Autocall_161,1.343,1.505,1.116,0.637,1.088226,36,False,0.0413150000000001,0.6377801299999997
Autocall_162,1.953,1.401,1.027,0.486,0.942548,4,False,0.05084199999999994,0.8407962440000001
Autocall_163,1.771,1.025,1.334,0.463,0.955714,15,True,0.18002700000000005,0.6925694939999998
Autocall_164,1.768,1.962,1.728,0.487,1.02854,28,True,0.044506000000000046,1.0179954800000002
Autocall_165,0.543,0.91,1.644,0.596,0.970205,18,True,0.020176000000000083,0.5950170199999998
Autocall_166,1.349,1.101,0.713,0.634,0.906131,10,True,0.14473400000000003,0.22237071899999994
Autocall_167,1.13,1.011,1.055,0.764,1.055367,25,True,0.13668000000000002,0.19256470999999986
Autocall_168,0.733,1.632,0.575,0.463,0.988623,4,False,0.24438400000000005,0.613432736
Autocall_169,1.411,1.121,0.823,0.583,0.969035,32,True,0.17738700000000007,0.36730838500000007
Autocall_170,1.517,1.39,1.29,0.515,0.944104,19,True,0.21874500000000008,0.432205768
Autocall_171,0.807,1.918,1.651,0.505,0.957889,1,True,0.03141000000000005,0.8372311019999998
Autocall_172,1.246,1.146,0.694,0.638,0.946022,1,False,0.205052,0.178743412
Autocall_173,1.096,1.613,1.154,0.528,0.915573,5,False,0.1483359999999999,0.47681924899999983
Autocall_174,1.36,1.564,1.127,0.472,0.904171,28,False,0.261792,0.4141234439999999
Autocall_175,1.702,1.427,1.748,0.562,0.917626,11,True,0.017623999999999862,0.604010248
Autocall_176,1.154,1.101,0.618,0.813,1.049161,16,True,0.06179800000000013,0.21073179399999997
Autocall_177,1.669,0.615,1.45,0.529,0.938781,22,False,0.11709899999999995,0.566825489
Autocall_178,1.591,1.728,1.723,0.48,0.929289,23,True,0.17056000000000004,0.6058113920000001
Autocall_179,1.404,1.64,1.483,0.478,1.05457,12,False,0.21608000000000005,0.7294947999999999
Autocall_180,1.632,1.64,1.173,0.598,1.012898,30,False,0.019280000000000075,0.66115272
Autocall_181,0.726,0.602,1.163,0.574,0.954935,21,True,0.332438,0.11058940500000003
Autocall_182,1.261,0.966,1.178,0.47,1.066339,23,True,0.4073300000000001,0.34465347899999976
Autocall_183,1.423,1.261,1.194,0.59,1.058364,6,True,0.16043000000000007,0.5060519720000001
Autocall_184,1.864,1.357,0.782,0.502,1.000273,29,True,0.064272,0.864508872
Autocall_185,0.655,1.849,1.015,0.515,1.00091,29,True,0.047764999999999946,0.8506825899999999
Autocall_186,0.872,1.157,1.159,0.666,0.931749,3,False,0.22810599999999992,0.07989709100000009
Autocall_187,1.081,1.662,1.518,0.458,1.026177,19,False,0.23880400000000002,0.7055061739999997
Autocall_188,0.995,1.337,1.08,0.525,1.070313,5,True,0.298075,0.4310084810000001
Autocall_189,0.622,1.495,1.875,0.476,1.031211,22,False,0.10750000000000004,0.9335206250000001
Autocall_190,1.393,1.907,0.964,0.478,1.058332,9,True,0.08845400000000003,1.018239124
Autocall_191,0.64,1.506,1.263,0.454,0.961773,34,True,0.316276,0.448430138
Autocall_192,1.922,1.229,0.84,0.46,0.915433,22,True,0.11587999999999998,0.7594622260000001
Autocall_193,1.656,1.753,1.826,0.454,0.967353,33,True,0.17099599999999993,0.7663865780000001
Autocall_194,0.731,0.771,1.539,0.575,1.080531,25,False,0.11507500000000015,0.6629372089999999
Autocall_195,1.116,1.515,0.856,0.543,0.956986,3,False,0.17735500000000004,0.44983379
Autocall_196,1.301,0.964,1.713,0.513,1.067023,15,False,0.12123099999999998,0.8278103990000001
Autocall_197,1.193,0.923,1.073,0.655,1.093254,29,True,0.21858499999999992,0.304252022
Autocall_198,1.81,0.578,1.221,0.488,1.086859,9,True,0.11672000000000005,0.9672147900000001
Autocall_199,0.626,0.74,1.174,0.656,1.066209,19,True,0.22985600000000006,0.25172936599999995
Autocall_200,1.725,1.827,1.896,0.482,0.979291,15,False,0.0861280000000001,0.8567357359999999
