name,initial_fixing_1,initial_fixing_2,initial_fixing_3,down_in,autocall_barrier,maturity_months,is_euro_barrier,dist_to_barrier,dist_to_autoc
Autocall_75,1.189,1.17,1.16,0.804,0.916,20,False,0.04404399999999986,0.0891240000000002
Autocall_76,0.877,0.502,0.855,0.551,1.006,1,True,0.5167729999999999,-0.11773800000000001
Autocall_77,1.235,0.773,0.808,0.456,1.067,5,False,0.4368399999999999,0.31774499999999994
Autocall_78,0.835,1.523,1.196,0.626,0.955,25,True,0.04660200000000003,0.4544649999999999
Autocall_79,1.483,0.624,0.527,0.573,0.939,35,False,0.15024100000000007,0.3925369999999999
Autocall_80,0.65,1.334,1.834,0.481,1.027,17,True,0.117846,0.883518
Autocall_81,1.444,0.948,0.985,0.682,0.958,18,True,0.015191999999999983,0.3833519999999999
Autocall_82,0.691,1.793,1.025,0.468,1.07,34,False,0.16087600000000002,0.9185099999999999
Autocall_83,1.282,0.541,0.635,0.611,1.036,23,True,0.21669799999999995,0.328152
Autocall_84,0.795,1.11,1.59,0.564,0.948,7,False,0.10324,0.50732
Autocall_85,1.119,1.444,1.832,0.509,0.987,2,True,0.0675119999999999,0.808184
Autocall_86,0.9,0.832,0.564,0.564,1.097,19,False,0.49240000000000006,-0.012700000000000045
Autocall_87,1.946,1.38,1.405,0.456,1.009,29,True,0.11262399999999995,0.9635139999999998
Autocall_88,0.507,0.617,0.736,0.802,0.919,14,False,0.409728,-0.323616
Autocall_89,1.298,1.295,0.522,0.515,0.932,9,True,0.33153,0.20973600000000014
Autocall_90,0.74,0.657,1.983,0.5,1.046,29,False,0.008499999999999952,1.0742180000000001
Autocall_91,1.664,1.604,0.8,0.561,1.06,22,True,0.066496,0.7638400000000001
Autocall_92,0.615,0.75,1.293,0.579,0.974,3,False,0.25135300000000005,0.259382
Autocall_93,1.747,0.577,1.122,0.492,0.911,8,True,0.14047599999999993,0.5915170000000001
Autocall_94,0.592,1.042,0.9,0.686,1.024,26,False,0.2851879999999999,0.06700799999999996
Autocall_95,1.051,0.854,1.447,0.646,1.083,34,True,0.06523799999999991,0.5671010000000001
Autocall_96,0.924,1.989,0.698,0.453,0.996,14,False,0.09898299999999993,0.981044
Autocall_97,1.776,1.156,0.71,0.514,0.971,15,True,0.08713599999999999,0.724496
Autocall_98,0.552,0.519,1.362,0.537,1.057,33,False,0.2686059999999999,0.4396340000000001
Autocall_99,1.023,1.702,0.55,0.463,1.049,27,True,0.211974,0.7853979999999998
Autocall_100,0.981,0.997,1.757,0.542,0.935,7,False,0.047706000000000026,0.642795
Autocall_101,1.393,0.646,1.561,0.637,0.999,3,True,0.005643000000000065,0.559439
Autocall_102,0.728,1.318,0.634,0.495,1.086,22,False,0.34758999999999995,0.43134800000000006
Autocall_103,1.568,0.804,1.018,0.534,1.021,28,True,0.16268799999999994,0.6009279999999999
Autocall_104,0.632,1.497,0.973,0.598,0.908,10,False,0.10479399999999994,0.35927600000000015
Autocall_105,1.15,0.72,0.686,0.591,0.945,13,True,0.32035000000000013,0.08674999999999988
Autocall_106,0.848,1.669,1.445,0.53,1.033,30,False,0.11542999999999992,0.7240769999999999
Autocall_107,1.915,0.692,0.894,0.513,1.073,19,True,0.017604999999999982,1.054795
Autocall_108,0.544,1.23,1.108,0.45,0.961,2,False,0.4465,0.18202999999999991
Autocall_109,1.533,1.901,1.246,0.468,0.922,7,True,0.11033199999999999,0.7527220000000001
Autocall_110,0.672,0.894,0.776,0.85,1.012,23,False,0.24009999999999998,-0.09527200000000002
Autocall_111,1.195,1.079,1.933,0.498,1.094,35,True,0.03736600000000001,1.1147020000000003
Autocall_112,0.808,0.557,0.5,0.64,0.984,17,False,0.48288,-0.204928
Autocall_113,1.269,1.55,1.074,0.606,1.003,16,False,0.060699999999999976,0.5546499999999999
Autocall_114,0.786,0.76,0.94,0.483,0.913,36,True,0.54598,-0.14178000000000002
Autocall_115,1.459,1.245,1.648,0.492,0.981,24,False,0.18918400000000002,0.6166879999999999
Autocall_116,0.698,0.669,0.613,0.722,1.091,6,True,0.49604400000000004,-0.23848200000000008
Autocall_117,1.966,0.864,0.594,0.488,1.03,1,False,0.04059200000000007,1.0249800000000002
Autocall_118,0.513,1.924,1.741,0.483,0.942,20,True,0.0707080000000001,0.8124079999999998
Autocall_119,1.108,0.587,0.766,0.533,0.952,31,False,0.4094359999999999,0.054815999999999976
Autocall_120,0.891,1.001,1.35,0.724,1.064,12,True,0.022599999999999953,0.4364000000000001
Autocall_121,1.612,0.526,1.914,0.453,1.076,11,False,0.13295800000000002,1.0594640000000002
Autocall_122,0.596,1.118,0.541,0.818,0.989,28,True,0.085476,0.10570200000000018
Autocall_123,1.34,0.926,1.234,0.601,0.905,21,False,0.19465999999999994,0.2127000000000001
Autocall_124,0.764,1.796,0.839,0.489,1.018,4,True,0.12175599999999998,0.8283280000000002
Autocall_125,1.085,1.389,0.865,0.553,1.053,8,False,0.23188299999999995,0.46261699999999983
Autocall_126,0.954,0.599,1.167,0.755,0.968,26,True,0.11891499999999999,0.129656
Autocall_127,1.693,1.447,0.663,0.579,0.925,32,False,0.01975300000000002,0.5660250000000002
Autocall_128,0.574,0.814,1.522,0.495,1.04,16,True,0.24661,0.5828800000000001
Autocall_129,1.219,1.374,0.62,0.727,0.982,16,False,0.0011019999999999364,0.34926800000000013
Autocall_130,0.826,0.619,1.667,0.469,1.097,32,True,0.21817700000000007,0.8286990000000001
Autocall_131,1.498,1.431,0.951,0.551,1.01,26,False,0.17460199999999992,0.51298
Autocall_132,0.659,0.841,1.087,0.747,0.925,8,True,0.18801100000000004,0.005475000000000119
Autocall_133,1.871,0.543,1.334,0.499,0.96,4,False,0.06637099999999996,0.79616
Autocall_134,0.533,1.106,0.757,0.582,1.074,22,True,0.35630799999999996,0.18784400000000012
Autocall_135,1.173,0.956,1.721,0.465,1.032,27,False,0.19973499999999988,0.7760720000000001
Autocall_136,0.868,1.775,0.587,0.536,0.946,11,True,0.04859999999999998,0.6791499999999999
Autocall_137,1.604,0.855,0.828,0.488,0.908,12,False,0.217248,0.45643200000000017
Autocall_138,0.645,1.987,1.219,0.498,1.02,31,True,0.010473999999999983,1.0267400000000002
Autocall_139,1.365,0.581,0.534,0.644,1.087,19,False,0.12093999999999994,0.48375499999999994
Autocall_140,0.712,1.035,1.89,0.484,0.998,1,True,0.0852400000000001,0.88622
Autocall_141,1.002,1.601,1.541,0.507,0.937,6,False,0.18829300000000004,0.500137
Autocall_142,0.959,0.751,0.671,0.699,1.047,24,True,0.32965900000000004,0.004072999999999993
Autocall_143,1.818,1.286,1.182,0.536,1.059,36,False,0.025551999999999908,0.925262
Autocall_144,0.563,0.661,0.875,0.46,0.969,17,True,0.5974999999999999,-0.15212500000000007
Autocall_145,1.732,1.839,1.778,0.51,1.038,17,True,0.06211,0.908882
Autocall_146,0.586,0.904,0.557,0.669,0.928,35,False,0.3952239999999999,-0.1610879999999999
Autocall_147,1.063,1.044,1.379,0.496,0.966,23,True,0.31601599999999996,0.332114
Autocall_148,0.932,0.563,0.718,0.88,1.056,7,False,0.17984,-0.015807999999999933
Autocall_149,1.314,0.728,0.961,0.695,1.017,2,True,0.08677000000000001,0.336338
Autocall_150,0.746,1.617,1.006,0.465,0.905,19,False,0.24809499999999995,0.46338499999999994
Autocall_151,1.649,0.699,0.627,0.49,0.989,30,True,0.19199,0.6308609999999999
Autocall_152,0.608,1.191,1.543,0.573,1.077,13,False,0.1158610000000001,0.6618109999999999
Autocall_153,1.131,0.625,1.094,0.62,1.064,10,True,0.29878000000000005,0.203384
Autocall_154,0.912,1.332,0.883,0.669,0.951,28,False,0.10889199999999988,0.26673199999999997
Autocall_155,1.921,0.778,1.427,0.515,0.943,22,True,0.010684999999999945,0.8115029999999999
Autocall_156,0.502,1.513,0.677,0.491,1.029,3,False,0.25711700000000004,0.5568769999999998
Autocall_157,1.426,1.169,0.506,0.466,1.094,8,True,0.335484,0.560044
Autocall_158,0.684,0.503,1.957,0.5,0.979,27,False,0.021499999999999964,0.9159030000000001
Autocall_159,1.295,1.722,0.785,0.519,0.915,33,True,0.10628199999999999,0.5756300000000001
Autocall_160,0.805,0.966,1.262,0.57,1.001,15,False,0.28066,0.2632619999999999
Autocall_161,1.514,0.583,1.609,0.584,1.026,14,True,0.060344000000000064,0.6508339999999999
Autocall_162,0.666,1.009,0.643,0.494,0.939,34,False,0.501554,-0.05254900000000018
Autocall_163,1.207,0.863,1.038,0.567,0.954,26,True,0.315631,0.151478
Autocall_164,0.818,1.927,0.997,0.489,1.068,8,False,0.057697,1.058036
Autocall_165,1.161,1.253,0.727,0.685,1.004,3,True,0.14169500000000002,0.2580119999999999
Autocall_166,0.859,0.664,1.388,0.571,0.919,22,False,0.20745200000000008,0.27557199999999993
Autocall_167,1.89,1.552,0.558,0.461,0.976,29,True,0.12871,0.8446399999999998
Autocall_168,0.539,0.758,1.81,0.55,1.09,10,False,0.0044999999999998375,0.9729000000000001
Autocall_169,1.409,1.461,1.277,0.452,1.053,14,True,0.33962799999999993,0.5384329999999999
Autocall_170,0.735,0.806,0.79,0.843,0.963,30,False,0.320542,-0.22382199999999997
Autocall_171,1.554,1.395,1.959,0.483,0.931,19,True,0.053803000000000045,0.8238290000000001
Autocall_172,0.625,0.597,0.515,0.605,1.041,2,False,0.621875,-0.349375
Autocall_173,1.761,0.917,0.707,0.499,1.08,6,True,0.12126100000000006,0.90188
Autocall_174,0.546,1.812,1.465,0.522,0.992,23,False,0.05413599999999996,0.797504
Autocall_175,1.034,0.524,0.911,0.848,0.902,34,True,0.12316799999999994,-0.06733199999999995
Autocall_176,0.99,1.122,1.136,0.551,1.014,18,False,0.37406399999999995,0.15190399999999982
Autocall_177,1.075,0.798,0.576,0.723,0.995,17,False,0.22277500000000006,0.06962500000000005
Autocall_178,0.943,1.506,1.718,0.486,1.083,35,True,0.1650520000000001,0.8605939999999999
Autocall_179,1.712,0.645,0.752,0.46,1.023,25,False,0.21248,0.7513759999999998
Autocall_180,0.579,1.319,1.317,0.697,0.912,5,True,0.08065700000000009,0.202928
Autocall_181,1.63,1.715,1.048,0.575,0.972,1,False,0.013875000000000082,0.6669800000000001
Autocall_182,0.601,0.991,0.923,0.532,1.062,20,True,0.472788,0.0524420000000001
Autocall_183,1.329,1.158,1.626,0.528,1.044,31,False,0.14147200000000004,0.6975439999999999
Autocall_184,0.755,0.519,0.595,0.743,0.934,12,True,0.43903499999999995,-0.2948299999999999
Autocall_185,1.986,1.089,0.844,0.47,0.922,11,False,0.06658000000000008,0.8310920000000002
Autocall_186,0.519,0.551,1.145,0.668,1.007,28,True,0.2351399999999999,0.1530149999999999
Autocall_187,1.094,1.908,0.654,0.512,1.1,21,False,0.023104000000000013,1.0988000000000002
Autocall_188,0.882,0.89,1.477,0.46,0.985,5,True,0.32058,0.45484500000000017
Autocall_189,1.253,0.685,1.857,0.469,0.949,9,False,0.12906700000000004,0.7622929999999999
Autocall_190,0.778,1.242,0.533,0.772,1.035,25,True,0.04117599999999999,0.2854699999999999
Autocall_191,1.474,0.718,1.211,0.62,1.071,32,False,0.08611999999999997,0.578654
Autocall_192,0.707,1.677,0.818,0.505,0.957,15,True,0.153115,0.604889
Autocall_193,1.904,0.742,1.157,0.458,0.935,15,True,0.12796799999999997,0.78024
Autocall_194,0.541,1.586,0.857,0.59,1.049,32,False,0.06425999999999998,0.6637139999999999
Autocall_195,1.144,0.65,1.508,0.573,1.057,25,True,0.13591600000000004,0.5939559999999999
Autocall_196,0.843,1.28,0.657,0.55,0.971,9,False,0.29599999999999993,0.24287999999999998
Autocall_197,1.201,1.969,0.523,0.475,0.907,5,True,0.06472500000000003,0.7858830000000001
Autocall_198,0.812,0.845,1.849,0.512,1.022,21,False,0.053312000000000026,0.889678
Autocall_199,1.542,1.031,0.81,0.642,1.085,28,True,0.010035999999999934,0.6730700000000001
Autocall_200,0.676,0.57,1.192,0.508,1.0,11,False,0.39446400000000004,0.19199999999999995
